2008-03-20T22:32:57.930Z,35.49,81.467,10,7.2,mwc,532,25.9,1.03,us,usp000g1w2,2017-11-13T17:54:21.520Z,Xinjiang-Xizang border region,earthquake,reviewed,us,us,,,,
2008-04-09T12:46:12.720Z,-20.071,168.892,33,7.3,mwc,486,13.4,1.29,us,usp000g3eq,2017-11-13T17:55:09.735Z,Loyalty Islands: New Caledonia,earthquake,reviewed,us,us,,,,
2008-04-12T00:30:12.600Z,-55.664,158.453,16,7.1,mwc,541,34.9,0.99,us,usp000g3q9,2017-11-13T17:55:46.510Z,Macquarie Island region,earthquake,reviewed,us,us,,,,
2008-05-12T06:28:01.570Z,31.002,103.322,19,7.9,mwc,774,11.3,1.2,us,usp000g650,2017-11-13T17:56:39.102Z,eastern Sichuan: China,earthquake,reviewed,us,us,,,,
2008-06-30T06:17:43.020Z,-58.227,-22.099,8,7,mwc,309,25.4,1.36,us,usp000gazv,2017-11-13T17:57:27.819Z,South Sandwich Islands region,earthquake,reviewed,us,us,,,,
2008-07-05T02:12:04.480Z,53.882,152.886,632.8,7.7,mwc,777,13.5,0.83,us,usp000gbc0,2017-11-13T17:58:05.574Z,Sea of Okhotsk,earthquake,3.1,reviewed,us,us,,,
2008-07-19T02:39:28.700Z,37.552,142.214,22,7,mwc,577,18.2,0.84,us,usp000gcjg,2017-11-13T17:58:43.326Z,off the east coast of Honshu: Japan,earthquake,reviewed,us,us,,,,
2008-09-29T15:19:31.590Z,-29.756,-177.683,36,7,mwc,524,17.4,1.21,us,usp000ghyg,2017-11-13T17:59:23.800Z,Kermadec Islands: New Zealand,earthquake,reviewed,us,us,,,,
2008-11-16T17:02:32.700Z,1.271,122.091,30,7.4,mww,365,33.7,1.1,us,usp000gnur,2017-11-13T17:59:59.349Z,Minahasa: Sulawesi: Indonesia,earthquake,reviewed,us,us,,,,
2008-11-24T09:02:58.760Z,54.203,154.322,492.3,7.3,mwc,531,22.7,0.77,us,usp000gpbs,2017-11-13T18:00:49.533Z,Sea of Okhotsk,earthquake,3.2,reviewed,us,us,,,
2009-01-03T19:43:50.650Z,-0.414,132.885,17,7.7,mwc,288,29.8,1.27,us,usp000gs2d,2017-11-13T18:02:03.133Z,near the north coast of Papua: Indonesia,earthquake,reviewed,us,gcmt,,,,
